把柄,痛处
把持,操纵
把守,扼守
白净,白皙
白蜡,地蜡
白昼,白天
百感交集,悲喜交集
百里挑一,凤毛麟角
百思不解,大惑不解
百无禁忌,童言无忌
百折不挠,不屈不挠
摆设,陈设
败兴,乘兴
拜访,访问
拜会,拜见
拜望,拜见
拜谒,拜见
搬弄是非,挑拨离间
板滞,呆板
版图,幅员
办法,措施
办法,方法
半老徐娘,残花败柳
伴同,伴随
扮演,表演
帮助,辅助
傍晚,薄暮
包庇,袒护
包抄,包围
包含,包括
包含,包孕
褒扬,表扬
宝贝,法宝
饱满,丰满
保存,保留
保存,保管
保证,保障
堡垒,碉堡
报仇,报复
报答,答谢
报仇,报恩
报告,呈文
报歉,道歉
抱病,扶病
抱歉,负疚
暴徒,歹徒
爆发,暴发
卑鄙,卑劣
卑躬屈膝,大义凛然
卑贱,卑下
卑微,低微
悲哀,悲痛
悲观,达观
悲哀,悲恸
北风,冬风
备案,存案
背后,背地
背后,当面
背面,反面
背叛,背离
奔波,奔走
奔驰,奔跑
奔忙,奔走
奔腾,奔跑
奔腾,飞跃
本分,天职
本领,本事
本钱,成本
本色,本质
本性,天性
笨重,粗笨
爆发,迸发
比方,比喻
比较,比拟
比方,比如
比照,对比
比照,对照
彼岸,此岸
笔挺,笔直
鄙弃,唾弃
必然,必定
必须,必需
包庇,庇护
弊病,弊端
避免,防止
边陲,边境
边疆,边境
边沿,边缘
编辑,编纂
鞭笞,鞭挞
贬低,贬斥
便当,便利
便当,方便
变革,变更
变卦,变更
变化,变更
变化无常,变化多端
变态,反常
遍及,遍布
遍体鳞伤,体无完肤
辨别,分辨
辩白,分辩
辩白,辩护
辩解,辩护
标记,标志
标明,表明
标题,题目
标新立异,别树一帜
标新立异,独树一帜
标准,尺度
表达,表白
表露,暴露
表率,榜样
表示,表现
表彰,表扬
别出心裁,别具匠心
别出心裁,独出机杼
别号,别名
标新立异,别具一格
别开生面,别具一格
别离,分离
别离,分手
冰冷,冰凉
禀赋,天赋
病入膏肓,不可救药
波澜,波涛
剥削,抽剥
泊车,停车
博古通今,博学多才
博览群书,博学多才
薄弱,单薄
补贴,补助
补缀,缝补
哺养,哺育
捕捉,捕获
不安于位,不守妇道
不必,不用
不长进,不成材
不长进,不成才
不迟不疾,从容不迫
不得善终,天诛地灭
不动声色,不留余地
不动声色,不露声色
不对,错误
不乏其人,不胜枚举
不凡,非凡
不敢则声,吞声忍气
不共戴天,唇齿相依
不管,不论
不过,不外
不合,分歧
不对,不合错误
不及,不迭
不计其数,成千上万
不骄不躁,不卑不亢
不胫而走,不翼而飞
不计其数,不可胜数
不可思议,不堪设想
不伦不类,不三不四
不谋而合,不约而同
卑躬屈膝,不屈不挠
不时,不断
不识时变,不识时务
不识抬举,不识好歹
不识一丁,不识之无
不速之客,不请自来
不闻不问,充耳不闻
不问可知,不言而喻
不相上下,并驾齐驱
不相上下,伯仲之间
不雅,不雅观
不亦乐乎,不可开交
不知去向,不翼而飞
不由,不禁
不只,不仅
布掸子,拂尘
布满,充满
步队,队伍
步伐,步调
步履维艰,寸步难行
步履维艰,大步流星
步人后尘,不落窠臼
部分,部门
猜测,猜想
猜忌,猜疑
才干,才华
才华盖世,才华出众
才干,才能
才干,才气
才气纵横,天才横溢
财富,财产
采纳,采用
采取,采用
参差,错落
参军,从军
参与,参加
残暴,残酷
残兵败将,兵强马壮
残暴,残忍
惨白,苍白
惨恻,惨怆
惨绝人寰,惨不忍睹
惨绝人寰,惨无人道
残暴,灿烂
仓促,匆促
仓促,仓皇
苍茫,苍莽
苍穹,天穹
藏身,存身
藏书楼,图书馆
操持,办理
操心,费心
草木皆兵,杯弓蛇影
草木皆兵,风声鹤唳
层次,档次
查访,察访
查询,查问
差别,差异
差错,错误
拆穿,戳穿
拆散,撮合
搀扶,扶持
搀和,搀杂
产生,发生
谄媚,谄谀
昌盛,鼎盛
昌盛,繁荣
猖獗,猖狂
长寿,长命
常年,长年
常人,凡人
场合,场所
畅谈,泛论
倡导,提倡
倡导,倡议
抄录,抄写
超出,超越
超凡,超常
车载斗量,不可多得
彻骨,透骨
撤除,拆除
撤离,撤退
退却,撤退
澈底,透澈
沉寂,沉静
沉浸,沉迷
沉沦,沉溺
沉闷,烦闷
沉沦,沉湎
沉重,繁重
沉醉,陶醉
陈腐,陈旧
陈规,成规
摆设,陈列
陈述,陈说
晨光,晨曦
称呼,称说
称呼,称谓
称疾,托病
称颂,称赞
称誉,称赞
成百上千,成千盈百
成绩,成就
呈现,浮现
呈现,出现
承担,承当
担当,承当
承认,否认
承上启下,承前启后
承袭,承继
诚心,诚恳
惩办,惩处
惩办,惩罚
惩办,惩治
表彰,惩处
处分,惩罚
嗤之以鼻,不屑一顾
痴钝,迟钝
痴情,薄情
驰名,驰誉
持久,长久
持之以恒,铁杵成针
耻笑,嘲笑
叱责,斥责
赤忱,赤心
赤诚,耻辱
充斥,充满
充当,充任
充分,充足
充分,充沛
充溢,充满
充裕,富余
冲毁,冲垮
冲刷,冲洗
冲突,抵触
冲撞,触犯
虫鸣水沸,蜩螗沸羹
崇拜,崇敬
抽泣,抽咽
抽泣,抽噎
仇敌,仇人
仇恨,痛恨
仇视,敌视
愁眉苦脸,愁眉不展
愁眉苦脸,春风得意
愁眉苦脸,春风满面
筹办,筹备
酬报,酬谢
踌躇,迟疑
丑恶,丑陋
臭名远扬,臭名昭著
出错,犯错
出发,动身
出乎意料,出其不意
出类拔萃,超群绝伦
出卖,出售
出面,出头具名
出人意料,出其不意
出身,出生
诞生,出生
出生入死,赴汤蹈火
发售,出售
出息,长进
出险,脱险
出走,出奔
初版,第一版
初级,低级
除暴安良,吊民伐罪
除污去垢,荡瑕涤秽
除夕,大年节
处分,处罚
处理,处置
处女,童贞
处所,地方
揣测,揣摩
抽泣,啜泣
穿戴,穿着
穿越,穿梭
传播,传布
传送,传递
传闻,风闻
创建,创立
创新,翻新
创造,发明
吹捧,吹嘘
垂死挣扎,负隅顽抗
垂涎欲滴,垂涎三尺
锤炼,锻炼
春风,东风
春光,春景
春光,春色
纯粹,纯洁
纯真,纯挚
蠢笨,笨拙
慈爱,慈祥
慈悲,慈善
慈祥,慈善
此后,尔后
次第,次序
刺目,刺眼
刺探,打探
刺目耀眼,刺眼
赐赉,赐予
不慌不忙,从容不迫
从属,附属
匆匆,促
匆忙,匆仓促
葱翠,葱茏
葱郁,葱茏
聪慧,聪明
凑合,对付
粗暴,粗鲁
粗鄙,粗俗
粗糙,粗拙
粗暴,粗犷
粗豪,粗犷
粗心,大意
粗心大意,粗枝大叶
簇拥,蜂拥
窜改,篡改
篡夺,夺取
催促,督促
摧残,残害
摧毁,捣毁
摧枯拉朽,不堪一击
残暴,璀璨
翠绿,葱绿
村庄,村落
村庄,村子
搭档,错误
搭救,打救
达到,到达
打坏,打碎
打搅,打扰
打开,翻开
打量,端详
打听,探听
大刀阔斧,大马金刀
大发雷霆,暴跳如雷
大概,大略
大纲,提纲
大公无私,铁面无私
大海捞针,铁树开花
大街,大巷
大力,鼎力
大量,大批
大骂,痛骂
大模大样,大摇大摆
大权独揽,大权在握
大失所望,大喜过望
大显身手,大显神通
大相径庭,天壤之别
大概,大约
大致,大抵
大致,大体
大宗,大批
歹意,恶意
代办,代理
丹青,图画
赤忱,丹心
单独,独自
单身,独身
担当,担负
担任,担负
担心,担忧
耽搁,耽误
但凡,凡是
淡泊,恬淡
淡泊,恬澹
淡薄,淡漠
刀口上舔血,刀头舔血
倒霉,不幸
倒台,塌台
倒台,坍台
倒霉,倒运
倒置,颠倒
捣蛋,捣鬼
捣乱,捣鬼
到手,得手
悼念,吊唁
盗窃,偷盗
道贺,道喜
道路,途径
道听,途说
得不偿失,得失相当
得寸进尺,贪得无厌
得寸进尺,得陇望蜀
得意忘形,得意洋洋
得知,得悉
登时,顿时
等待,等候
卑贱,低贱
低三下四,低声下气
低头,抬头
抵牾,抵触
抵达,到达
抵抗,抵御
抵消,对消
抵押,典质
地步,田地
地理,地舆
地利,天时
地区,地域
颠倒错乱,颠三倒四
颠倒黑白,颠倒是非
颠覆,推翻
典范,典型
典范,范例
玷辱,玷污
惦记,惦念
凋零,凋落
凋零,凋谢
雕琢,雕刻
吊销,撤消
调处,调解
调剂,调解
调停,调解
调理,调节
调皮,淘气
调剂,调整
掉包,偷换
跌宕,跌荡
跌宕放诞,跌荡
跌宕,跌荡放诞
叮嘱,吩咐
顶撞,顶嘴
鼎立,鼎峙
订婚,定亲
订婚,订亲
动人,动听
动员,发动
斗争,奋斗
逗弄,逗引
步人后尘,独具匠心
单身,独身只身
独有,独占
独占鳌头,夺得冠军
赌气,负气
赌咒,发誓
度过,渡过
堆积,沉积
对抗,反抗
对立,对峙
对于,对
催促,敦促
多难,多灾
哆嗦,发抖
堕落,腐化
额定,额外
厄运,恶运
恶感,反感
恶梦,噩梦
恩德,恩惠
恩典,恩惠
恩情,恩惠
恩泽,恩惠
恩泽,恩惠膏泽
儿歌,童谣
而已,罢了
耳背,耳尖
发呆,发愣
发奋,奋发
发愤,奋发
发还,发回
发慌,发窘
发觉,察觉
发觉,发现
发起,发动
发热,发烧
发问,提问
发扬,发挥
发源,发祥
发作,发生
法度,法式
法则,法令
法子,方法
翻滚,翻腾
翻山越岭,跋山涉水
翻天覆地,天翻地覆
翻云覆雨,反复无常
凡,凡是
烦琐,繁缛
烦琐,繁琐
繁华,繁荣
繁衍,繁殖
繁杂,复杂
出尔反尔,反复无常
反叛,反水
反问,反诘
反响,反应
反映,反应
反作用,副作用
犯法,犯罪
范畴,范围
方式,方法
芳香,芬芳
防备,防范
防备,防御
防卫,防守
妨碍,妨害
房东,房主
仿造,仿制
访古寻幽,探寻胜迹
放荡,放纵
放荡不羁,倜傥不羁
放荡不羁,放荡任气
放弃,废弃
放肆,放纵
飞奔,飞驰
飞翔,飞行
飞扬,飞腾
菲敬,菲仪
肥美,肥沃
肥饶,肥沃
废除,废止
废料,废物
废品,成品
费劲,吃力
费劲,费力
费神,费心
分别,分辨
分别,分离
分红,分成
分配,调配
分别,分手
分辩,分说
分摊,摊派
分外,分内
纷繁,纷纷
纷纭,纷纷
焚杀,屠烧
粉墨登场,弹冠相庆
愤恨,愤怒
丰产,丰收
丰登,丰收
丰富,丰盛
丰富,丰硕
丰富,丰厚
丰饶,富饶
风采,风度
风吹草动,打草惊蛇
风姿,风度
风高浪急,风号浪吼
风流,风骚
风马不接,风马牛不相及
风靡一时,风行一时
风气,风尚
风气,风俗
风云,风波
风韵,风度
封闭,封锁
疯狂,猖狂
烽烟,烽火
否定,否认
肤浅,浮浅
敷衍,搪塞
敷衍了事,草草了事
敷衍了事,敷衍塞责
服帖,帖服
福气,福分
抚摸,抚摩
抚养,抚育
辅币,本币
辅佐,辅助
腐败,腐朽
腐败,腐烂
腐蚀,腐化
复古,复旧
富裕,富饶
他人,别人
太平盛世,兵荒马乱
太平盛世,天下太平
泰然自若,处之泰然
泰然自若,泰然处之
贪婪,贪心
贪生怕死,从容就义
贪污腐化,贪赃枉法
谈笑风生,谈笑自若
坦白,坦率
