女,少女
彷徨,徘徊
改革,改造
改换,更换
改进,改良
改善,改良
改组,改选
概略,概况
干脆,索性
干涸,干枯
干涉,干预
尴尬,为难
赶紧,赶快
赶紧,赶忙
感触,感想
感触,感受
感恩戴德,深恶痛绝
感化,感召
感激,感谢
感觉,感到
感慨,感叹
感念,感怀
感想,感受
刚刚,刚
纲领,纲要
高超,高明
高档,高级
高等,高级
高低,高下
高贵,高尚
高山,深谷
高耸,巍峨
高雅,文雅
高枕无忧,万事大吉
膏壤,沃土
告诉,告知
歌唱,歌颂
歌功颂德,树碑立传
改革,革新
格局,格式
隔断,隔绝
隔阂,隔膜
各持己见,各抒己见
各有所长,各有千秋
跟从,随从
跟着,随着
耕人之田,为人作嫁
工夫,功夫
工巧,工细
公道,公平
公家,公众
公开,公然
公民,国民
公正,公平
公营,国营
公道,公允
偏颇,公允
功败垂成,功亏一篑
功绩,功劳
功能,功效
功效如神,万试万灵
功勋,功劳
功能,功用
攻击,攻打
供给,供应
供养,赡养
恭敬,恭顺
共鸣,共识
勾搭,勾结
勾画,勾勒
苟且偷生,苟且偷安
苟且偷生,宁死不屈
苟且偷生,死不足惜
购买,购置
估计,估量
姑苏,苏州
姑妄听之,姑妄言之
孤单,孤独
孤芳自赏,顾影自怜
孤负,辜负
孤掌难鸣,孤立无援
古道热肠,古貌古心
古怪,怪僻
古装,时装
骨瘦如柴,瘦骨嶙峋
鼓动,煽动
鼓舞,鼓励
固然,虽然
故弄玄虚,弄虚作假
故土,故乡
顾忌,顾虑
瓜熟蒂落,水到渠成
古怪,乖僻
拐弯抹角,旁敲侧击
怪石嶙峋,危峰兀立
怪样子,四不像
关怀,关心
关联,关系
关切,关心
观察,视察
观念,观点
管束,管教
贯穿,贯串
灌输,灌注
灌输,灌注贯注
光彩,光荣
光复,收复
光棍,王老五骗子
光亮,光明
光临,光顾
光芒,光辉
光芒耀眼,光彩夺目
光明磊落,光明正大
光芒,光线
光阴,时间
光阴似箭,似水流年
光阴似箭,乌飞兔走
广泛,普遍
归结,归纳
归咎,归罪
归入,纳入
规规矩矩,规行矩步
规矩,规则
鬼鬼祟祟,鬼头鬼脑
贵爵,王侯
贵族子弟,王孙公子
国度,国家
国事,国是
果断,武断
果真,果然
过度,适度
过分,过火
过量,适量
过目不忘,过目成诵
过期,过时
过甚,过火
过头,过火
内耗,内讧
内幕,内情
纳贿,受贿
耐烦,耐心
难熬,难受
难堪,为难
难免,未免
难熬难过,难受
难以估计,无法计算
难以决断,委决不下
囊中物,瓮中鳖
能否,是否
能说会道,能言巧辩
能说会道,贫嘴薄舌
泥像,塑像
拈花惹草,弄柳拈花
年成,年景
年富力强,年迈力衰
年富力强,年轻力壮
年纪,年事
年老,年迈
年纪,年龄
年青,年轻
手轻脚健,年轻力壮
年纪,年岁
年幼无知,少不更事
年终,年初
娘家,外家
啮臂之交,死生之契
啮臂之交,死生之交
您,你
宁当玉碎,宁死不屈
宁可,宁肯
宁为玉碎，不为瓦全,宁死不屈
凝集,凝聚
凝结,凝固
凝结,凝聚
农夫,农民
浓厚,浓重
浓烈,浓郁
弄法,玩法
平心而论,弄虚作假
奴颜婢膝,奴颜媚骨
奴颜婢膝,神气活现
怒发冲冠,怒气冲天
怒放,盛开
怒吼,咆哮
怒形于色,怒不可遏
虐待,迫害
暖和,温暖
讴歌,歌颂
偶尔,偶然
无意偶尔,偶然
爬虫类,爬行动物
爬行,匍匐
排斥,排挤
排解,排遣
排演,排练
派系,派别
攀登,攀缘
攀登,攀爬
盘诘,盘问
盘考,盘问
盘绕,围绕
判别,判断
判定,判断
庞然大物,硕大无朋
旁门,歪路
拐弯抹脚,旁敲侧击
陪伴,陪同
培养,培育
培养,培植
蓬头垢面,披头散发
碰劲,碰巧
批驳,批评
批判,批评
披发,散发
披肝沥胆,肝胆相照
毗连,毗邻
疲惫,疲乏
疲惫,疲倦
癖好,嗜好
片段,片断
偏僻,偏远
飘荡,飘扬
贫瘠,贫乏
贫困,贫苦
贫困,贫穷
频次,频率
品尝,品味
品德,品格
品头论足,评头品足
品德,品质
聘请,聘任
聘请,聘用
平常,平凡
平淡,平庸
平淡无奇,平铺直叙
平地,平川
平和,温和
平话,说书
平日,素日
平素,素常
平整,平坦
评比,评选
评话,说书
评价,评估
凭仗,凭借
迫不得已,无可奈何
危害,迫害
破釜沉舟,孤注一掷
破坏,损坏
蒲月,五月
朴实,朴素
撒泼,撒野
赛过,胜过
三言两语,片言只语
散播,散布
丧尽天良,丧心病狂
丧尽天良,伤天害理
丧失,损失
扫尾,收尾
扫兴,失望
杀害,杀戮
杀人不见血,杀人不眨眼
杀身成仁,视死如归
沙哑,嘶哑
刹那,霎时
煞费苦心,呕心沥血
删节,删省
闪烁,闪耀
善于,擅长
伤害,损害
商榷,商议
商讨,商议
上当,受骗
高低,上下
少年老成,少年事重
奢侈,奢靡
舍己为人,杀人越货
舍近求远,舍本逐末
设身处地,身临其境
申明,声名
申述,申说
申述,申诉
伸展,舒展
身败名裂,声名狼藉
身材,身体
身经百战,南征北战
身体力行,事必躬亲
深奥,深邃
深沉,深厚
深挚,深厚
深化,深入
深刻,深入
深谋远虑,深思熟虑
三思而行,深思熟虑
神采,神情
神出鬼没,诡秘莫测
神色,神情
审判,审讯
审视,审阅
审问,审讯
渗入,渗透
渗入渗出,渗透
慎重,稳重
生搬硬套,生吞活剥
生果,水果
生活,生涯
生机,生气
生怕,惟恐
生养,生育
声东击西,围魏救赵
申明,声明
声响,声音
声誉鹤起,身价百倍
牲口,牲畜
胜败,输赢
胜败,胜负
输赢,胜负
绳索,绳子
尸谏,死谏
失机,失时
失礼,失仪
失利,失败
失落,失踪
失窃,失贼
失算,失策
失效,生效
施行,实施
施行,实行
湿淋淋,湿漉漉
十拿九稳,万无一失
什物,实物
时辰,时刻
时代,时期
时分,时候
时光,时间
时髦,时兴
时事,时势
实践,实际
故弄玄虚,实事求是
实验,试验
实用,适用
拾掇,收拾
食品,食物
世易时移,事过境迁
市道,市面
事出有因,无缘无故
事故,事变
事前,事先
事情,事件
事与愿违,适得其反
侍从,随从
势不可当,势如破竹
势不两立,水火不相容
势均力敌,平分秋色
视而不见,熟视无睹
视野,视线
拭目以待,刮目相待
誓词,誓言
收成,收获
收获颇丰,受益匪浅
收留,收容
手表,腕表
手段,手腕
手段,手法
手脚,四肢
守势,功势
守势,攻势
首级,首领
首屈一指,数一数二
寿终正寝,死于非命
受命,授命
受权,授权
受阻,碰壁
书厨,书柜
书橱,书柜
书箧,书箱
抒怀,抒情
疏浚,疏通
疏松,蓬松
疏松,松散
舒畅,舒服
舒适,舒服
熟识,熟悉
熟习,熟悉
戍卫,卫护
束手待毙,束手就擒
数量,数目
衰草如烟,衰草连天
衰落,衰败
爽快,爽直
顺理成章,水到渠成
水患,水灾
水深火热,生灵涂炭
水天一线,水天相接
顺道,顺路
顺俗,随俗
顺应,适应
瞬间,霎时
瞬时,刹时
私家,私人
私交,私情
私自,擅自
私自,私下
思惟,思想
思维,思想
思绪,思路
死,逝世
四面,四周
四面八方,五湖四海
手脚,四肢举动
四处,四周
伺候,侍候
肆无忌惮,无法无天
松懈,松散
鼓动,怂恿
送旧迎新,送往迎来
搜集,收集
搜罗,收罗
搜索,搜寻
搜查,搜寻
素净,素淡
素昧平生,似曾相识
素昧平生,素不相识
算计,盘算
随便,随意
随手,顺手
随心所欲,为所欲为
岁入,岁收
伤害,损伤
损害,损伤
缩头缩脑,缩手缩脚
所向披靡,所向无敌
煞费苦心,挖空心思
洼地,高地
歪门邪道,旁门左道
歪七扭八,歪歪扭扭
外埠,外地
外强中干,色厉内荏
外援,外助
完璧归赵,物归原主
完成,实现
完美,完善
完美无缺,十全十美
完全,完整
顽固,固执
万古长存,万古长青
万马齐喑,死气沉沉
万马齐喑,万马奔腾
搜罗,网罗
平常,往常
妄图,妄想
妄言,妄语
妄自尊大,唯我独尊
感恩戴德,忘恩负义
忘怀,忘记
忘却,忘记
忘我,无私
望而却步,望而生畏
望风而逃,攻无不克
望风而逃,破门而出
