哀兵必胜,骄兵必败
爱财如命,一毛不拔
爱好,喜好
爱护,爱惜
爱护国家维护主权,爱国
爱莫能助,心有余而力不足
暧昧,暗昧
安定,安宁
安顿,安置
安放,安置
安分,循分
安分守己,循规蹈矩
安分守己,安守故常
安分守纪,循规蹈矩
安康,健康
安乐,安泰
安谧,静谧
安眠,安息
安如磐石,坚如磐石
安如磐石,安如泰山
安适,安逸
安适,安闲
安葬,埋葬
谙熟,谙习
按部就班,循序渐进
按照,依照
暗藏,隐藏
暗淡,黯淡
暗淡,阴暗
暗害,暗杀
暗箭,明枪
暗射,影射
暗送秋波,眉来眼去
暗害,暗算
暗影,阴影
昂首挺立,昂然挺立
遨游,漫游
鏖战,激战
傲骨,媚骨
傲睨,渺视
傲雪欺霜,坚贞不屈
懊丧,沮丧
饥荒,饥馑
机会,机遇
机警,机灵
机密,秘密
机警,机敏
机能,性能
机智,机灵
机杼,心裁
咭片,名片
积存,积压
积厚流光,源远流长
积极,踊跃
积聚,积累
积少成多,聚沙成塔
积少成多,日积月累
积羽沉舟,聚蚊成雷
基本,基础
缉获,缴获
缉拿,缉捕
稽查,稽察
激昂,激动
激烈,剧烈
激起,激发
及时行乐,极乐世界
吉利,吉祥
岌岌可危,奄奄一息
岌岌可危,摇摇欲坠
汲取,吸取
汲深绠短,心余力绌
即便,即使
即将,行将
极端,极其
极力,竭力
急迫,急切
急转直下,渐入佳境
疾速,迅速
疾足先得,捷足先登
集合,聚集
集会,聚会
积少成多,集腋成裘
几次,几回
几乎,简直
计策,计谋
记录,记载
记叙,记述
纪行,游记
忌讳,禁忌
技能,技巧
技术,技巧
技能,技艺
季节,节令
季子,幼子
济困扶危,雪中送炭
济困解危,雪中送炭
继承,继续
寂静,安静
寄居,借居
寄人篱下,仰人鼻息
寄意,寓意
寄予,寄托
祭奠,祭祀
夹攻,夹击
佳誉,美誉
家景,家境
家眷,家属
家庭祸变,萧墙之祸
家徒四壁,金玉满堂
家喻户晓,尽人皆知
家喻户晓,人人皆知
家喻户晓,远近闻名
嘉奖,奖励
价格,价钱
假定,假设
假货,赝品
假冒,冒充
假如,如果
嫁祸,移祸
嫁祸他人,以邻为壑
嫁祸于人,以邻为壑
嫁奁,嫁妆
奸骗,奸淫
尖利,尖锐
坚持不懈,坚定不移
坚定,坚决
坚韧不拔,坚定不移
坚韧不拔,精卫填海
坚硬,坚挺
歼灭,剿灭
间隔,距离
肩舆,轿子
艰巨,艰难
艰苦,艰难
艰苦卓绝,坚苦卓绝
艰苦,艰辛
监督,监视
湔雪,洗雪
俭朴,简朴
俭省,节省
减弱,削弱
检查,检讨
检点,检核检束
检举,揭发
检点,检束
检修,检验
检阅,校阅
检阅场,演武厅
简单,简略
简洁,简练
简洁,简明
见风使舵,见机行事
见风使舵,相机行事
见猎心喜,跃跃欲动
见笑于人,贻笑大方
建筑,建造
建筑,修建
建筑,修筑
剑拔弩张,一触即发
健壮,硬朗
渐渐,慢慢
渐渐,徐徐
践踏,蹂躏
鉴戒,借鉴
江河日下,每况日下
将错就错,一误再误
将错就错,将功补过
将功折罪,将功补过
将就,勉强
僵硬,僵直
讲解,讲授
讲究,讲求
降低,下降
降落,下降
交兵,交战
交错,交织
交换,交流
交集,交加
交界,接壤
交纳,缴纳
交融,融合
郊游,远足
娇嫩,柔嫩
娇生惯养,养尊处优
娇羞答答,羞人答答
娇纵,骄纵
骄傲自大,戒骄戒躁
骄恣,骄纵
焦急,焦虑
侥幸,幸运
狡猾,狡诈
狡赖,狡辩
矫捷,敏捷
脚踏实地,兢兢业业
剿袭,袭取
叫喊,叫嚷
叫唤,叫嚷
叫嚣,叫嚷
教导,教诲
教师,先生
教授,教学
教养,教学
教导,教育
教师,教员
阶级,阶层
皆宜,咸宜
接二连三,接踵而至
接管,接收
接济,救济
接纳,接收
接受,接收
吸收,接收
接踵,相继
揭穿,揭露
孑然一身,形单影只
孑遗,余存
节俭,节省
节拍,节奏
节俭,节约
洁白,雪白
洁身自好,明哲保身
结结实实,严严实实
结实,硬朗
捷报,喜报
截趾适屦,削足就履
截趾适履,削足就履
尽力,竭力
解聘,解职
讲解,解说
介绍,先容
戒严,解严
界线,界限
借题发挥,小题大作
金樽旨酒,玉液琼浆
津津乐道,津津有味
筋疲力尽,精疲力竭
襟怀,胸怀
襟怀,胸襟
紧急,紧迫
紧密,严密
紧缩,压缩
谨防,严防
谨慎,谨严
锦上添花,精益求精
享誉中外,尽人皆知
尽善尽美,尽如人意
尽善尽美,一无是处
尽收眼底,一览无余
尽忠,效忠
近在咫尺,近在眉睫
进步,先进
进步神速,一日千里
进口,入口
进款,入款
进退两难,进退维谷
进修,学习
浸礼,洗礼
浸湿,浸润
浸湿,漫湿
禁受,经受
泾渭分明,爱憎分明
泾渭分明,若明若暗
经过,经由
经历,阅历
经年累月,经久不息
经年累月,日久天长
经验,教训
惊诧,惊愕
惊骇,惊恐
惊慌,惊惶
惊惶失措,惊慌失措
惊慌,惊悸
惊奇,惊疑
惊奇,惊讶
惊奇,惊异
爱岗敬业,兢兢业业
精干,精悍
精华,精髓
精力,精神
精力充沛,精神抖擞
精良,优良
精美,优美
精美,精巧
精密,精细
精摹细琢,精雕细刻
精致,精巧
精深,精湛
精通,精晓
精致,精细
井井有条,语无伦次
警戒,警惕
警觉,警惕
小心,警惕
竟然,居然
敬爱,爱戴
敬慕,仰慕
敬佩,敬仰
敬佩,敬重
纠葛,纠纷
九月,玄月
酒杯,羽觞
酒囊饭袋,行尸走肉
旧址,原址
救兵,援军
救火投薪,扬汤止沸
救火员,消防员
救援,救济
就任,就职
就义,捐躯
居心,用心
居住,寓居
拘谨,拘束
局面,局势
举办,举行
举措,举动
