男人,男子
逆天背理,逆天违理
年事,年岁
捏手捏脚,捻脚捻手
那儿,那里
赧然,赧赧
难乎为继,难以为继
纳垢藏污,纳污藏垢
嫩枝,嫩芽
能上能下,能官能民
浓墨涂抹,浓墨重彩
浓郁,浓重
年深岁久,年深日久
凝结,凝集
年岁,年数
内在,内涵
啮雪吞毡,啮雪餐毡
年岁,年齿
年数,年纪
宁为玉碎,宁死不屈
纳履踵决,纳屦踵决
脑子,脑筋
内行,能手
喃喃低语,喃喃细语
赧赧,赧颜
耐心,耐烦
怒不可遏,怒气冲天
难分难舍,难解难分
浓妆艳服,浓妆艳饰
怒不可遏,怒火万丈
女织男耕,男耕女织
牛头不对马嘴,牛头不对马面
暖和,暖热
念兹在兹,念念不忘
怒火万丈,怒火中烧
能伸能屈,能屈能伸
难受,难堪
那边,那里
凝眸,凝视
拟定,拟订
蹑手蹑足,蹑脚蹑手
逆耳,难听
宁愿,宁肯
凝思,凝神
年底,年末
暖烘烘,暖融融
内耗,内讧
拟于不伦,拟非其伦
耐心,耐性
驽马,驽骀
怒不可遏,怒目切齿
怒火中烧,怒目切齿
蹑蹻担簦,蹑蹻檐簦
牛骥同槽,牛骥同皂
农人,农夫
拿三撇四,拿班作势
男女老少,男女老幼
弄巧反拙,弄巧成拙
怒不可遏,怒火中烧
男大当婚，女大当嫁,男婚女嫁
内外交困,内外交迫
凝固,凝聚
浓烈,浓郁
恼羞变怒,恼羞成怒
年岁,年纪
奴仆,奴婢
南去北来,南来北往
奴仆,奴才
难受,难熬
女大须嫁,女长须嫁
难受,难过
捏手捏脚,蹑手蹑脚
怒气,怒火
泥坑,泥淖
牛骥共牢,牛骥同皂
能上能下,能伸能缩
南征北伐,南征北讨
南方,南边
浓烈,浓重
内疚,忸怩
年关,年尾
能言善辩,能言快语
年齿,年龄
年尾,年终
忸怩不安,忸怩作态
年头,年月
怒发冲冠,怒形于色
宁为玉碎，不为瓦全,宁死不屈
年关,年底
年久日深,年深日久
内乱,内讧
逆施倒行,逆行倒施
忸怩不安,扭扭捏捏
奴颜婢膝,奴颜媚骨
逆天悖理,逆天违理
怒气冲天,怒火中烧
奴婢,奴隶
哪里,那边
浓妆艳抹,浓装艳抹
弄柳拈花,拈花惹草
