剧本,脚本
局限,节制
救过不暇,救过不给
急忙,急遽
积存,积聚
纠缠,轇轕
抉目东门,抉目吴门
金科玉律,金科玉条
寂寞,寂寥
济世安民,济世安邦
纠集,集结
教会,教化
井底之蛙,井底鸣蛙
尖酸克薄,尖酸刻薄
旧念复萌,旧病复发
街谈巷语,街谭巷议
教会,教养
戒备,警戒
绝无仅有,见所未见
警告,警戒
交兵,交手
经世之才,经济之才
奸滑,奸猾
骄奢淫佚,骄奢淫逸
举世无双,绝无仅有
戒备,警告
举重若轻,精明强干
叫苦不迭,叫苦连天
寂寥,寂然
交代,交接
济困扶危,见义勇为
家常里短,家长里短
佶屈聱牙,诘诎聱牙
减省,节减
僵化,僵硬
纠缠,胶葛
坚挺,坚硬
奸滑,狡滑
精粹,精练
教悔,教育
紧张,紧绷
家眷,眷属
俭仆,节俭
兼听则明,集思广益
坚强不屈,坚贞不屈
酒肉兄弟,酒肉弟兄
健壮,健康
境遇,际遇
假冒,假装
鸠占鹊巢,鸠居鹊巢
见利忘义,见钱眼开
禁锢,羁系
进度,进程
俭约,节流
检讨,检验
借单,借条
经文纬武,经武纬文
尽头,极端
简易,简陋
诘曲聱牙,诘诎聱牙
鸡毛蒜皮,鸡零狗碎
简洁,简略
记叙,记述
精干,精悍
聚积,鸠集
尽然,居然
精密,精细
积少成多,聚沙成塔
井然有序,井然有条
井底之蛙,井底蛤蟆
急时抱佛脚,江心补漏
坚定不移,坚贞不渝
锦绣山河,锦绣江山
惊奇,惊讶
奸刁,狡猾
阶级,阶级
举一废百,举措失当
教授,讲授
解放,解脱
警戒,警觉
接办,接手
狡猾,狡诈
焦灼,焦炙
绝世佳人,绝色佳人
尖刻,尖酸
经久不息,经久不衰
精华,精深
井井有条,井然有序
坚强,鉴定
诘屈,诘诎
惊呀,惊诧
减削,减少
捐赠,救济
将功折罪,将功补过
嫉恶好善,疾恶好善
竞争,角逐
荆钗布裙,锦衣玉食
教化,浸染
建筑,建设
坚持不懈,金石可镂
简单,简易
敬爱,敬重
拘束,谨慎
岌岌可危,急不可待
奖励,奖赏
锦阵花营,锦阵花营
家常便饭,家常茶饭
疾言厉色,疾言怒色
即是,就是
鸡鸣犬吠,鸡鸣狗吠
交壤,交界
家徒壁立,家徒壁立
京城,京师
具体,简直
九牛一毛,九牛一毫
惊叹,惊羡
坚定,矍铄
酒酣耳热,酒醉饭饱
鸡犬不宁,鸡飞狗走
急于事成,急于求成
计日以俟,计日以期
叫唤,叫喊
极其,极端
近水楼台,近水楼台先得月
俭约,节约
旧交,旧友
街谈巷说,街谭巷议
即速,急忙
季候,季节
惊涛巨浪,惊涛骇浪
节减,节略
救援,救济
教训,经验
娇声娇气,娇里娇气
奸诈,狡诈
酒色之徒,酒色财气
教化,教授
拘禁,拘系
接受,接收
街谈巷议,街谭巷议
疾风扫秋叶,疾风扫落叶
借字,借据
济世匡时,济世安民
江郎才尽,江郎才掩
聚会,聚积
健壮,结实
居心不良,居心叵测
揭晓,揭橥
晶体,警觉
减少,减轻
激发,激起
建立,建设
兼听则明，偏信则暗,兼听则明，偏听则暗
技术,技艺
痂皮,结痂
精深,精美
聚聚,聚餐
精晓,精通
极端,绝顶
教化,教悔
揭晓,楬橥
敬重,景仰
举世瞩目,举世闻名
假使,尽管
匠心独具,匠心独运
接连,继续
家境,家道
饥不择食,饥肠辘辘
兢兢业业,敬小慎微
窘蹙,窘迫
嫁犬逐犬,嫁狗逐狗
军器,军械
奸诈,狡黠
坚不可摧,坚如盘石
聚会,聚首
急躁,焦躁
俭约,减省
即使,尽管
拘束,拘谨
截长补短,集思广益
健全,健康
俭省,俭约
俭朴,简扑
家长礼短,家长里短
降下,降落
机敏,机警
拒狼进虎,拒虎进狼
桀傲不驯,桀骜不逊
教室,讲堂
俭仆,俭省
聚积,集会
俊俏,俊秀
绝世佳人,绝代佳人
教学,教导
假心,假意
警员,警察
急则抱佛脚,急来抱佛脚
经书,经籍
艰难曲折,艰难险阻
狡猾,狡黠
聚合,鸠集
惊恐,惊悸
捷足先登,疾足先得
精华,精炼
决疣溃痈,决痈溃疽
尽心竭力,精益求精
纠集,集中
叫喊,叫嚣
精妙入神,精美绝伦
纠集,聚集
教养,教化
激励,激发
井渫不食,井渫莫食
津津乐道,津津有味
靖言庸违,靖谮庸回
惊恐,惊愕
解决,解放
较劲,较量
聚集,麇集
教养,教诲
金兰之交,金兰之友
惊弓之鸟,惊弦之鸟
教悔,教授
家鸡野雉,家鸡野鹜
健步如飞,急若流星
焦心,焦虑
决断,决议
减少,节略
纠葛,胶葛
假冒,假意
急中生智,计上心头
奸滑,狡黠
井井有条,尽然有序
交战,交锋
建筑,建造
尽头,绝顶
敬老慈幼,敬老爱幼
经天纬地,经纬天下
胶着,胶著
狡诈,狡黠
迥乎不同,迥然不同
惊叹,惊奇
聚合,集合
坚贞不屈,坚韧不拔
孑然一身,踽踽独行
佳作,杰作
精炼,精炼
敬仰,敬佩
兼权尚计,兼权熟计
箕引裘随,箕裘相继
见解,见识
噤口不言,缄口不言
结局,结束
拮据,窘蹙
聚萤映雪,聚萤积雪
京市,畿辇
借故,借端
进善惩奸,进善惩恶
教师,教练
揭破,揭穿
井底之蛙,井蛙醯鸡
俭朴,俭省
筋疲力尽,精疲力竭
酒席,酒筵
急促,急忙
借坡下驴,见风使舵
教员,教师
坚决,坚强
惊恐,焦灼
拮据,窘迫
节流,节约
精益求精,锦上添花
狡滑,狡诈
积存,积贮
皎洁,皎白
禁不住,禁不起
精美,精致
揭示,揭露
监守自盗,见利忘义
加官进爵,加官进禄
假仁假义,假装好人
寂寞,寂静
嘉言善行,嘉言懿行
奸险,狡猾
筋疲力竭,精疲力尽
极点,极端
敬佩,敬重
精妙绝伦,精美绝伦
俊秀,姣好
既往不咎,既往不究
决断,决计
娇嫩,娇贵
窘况,窘迫
积存,积蓄
井底之蛙,井蛙之见
交集,焦心
几多,几许
街谈巷语,街谈巷谚
惊惶,惊慌
教会,教授
聚合,集结
简捷,简略
敬仰,敬慕
诘屈謷牙,诘诎聱牙
见风使舵,见风转舵
接收,继承
急流,激流
经世之才,经国之才
简便,简易
紧急,进攻
就职,接事
佳构,精品
借款,借钱
简洁,简练
奸诈,奸险
抉目吴门,抉目胥门
金相玉式,金相玉质
健壮,坚硬
记实,记录
交兵,交战
积甲如山,积甲山齐
决心,决计
酒宴,酒筵
浃沦肌髓,浃髓沦肌
极度,绝顶
基本,基础
居高临下,建瓴高屋
家喻户习,家谕户晓
斤斤计较,计较锱铢
拘捕,拘禁
惊愕,惊诧
救助,救济
技巧,技能
接二连三,接连不断
疾言厉色,疾言遽色
减削,减省
噤口不言,噤口卷舌
矫枉过直,纠枉过正
金口玉言,金科玉律
健壮,矫健
见多识广,见闻广博
集结,鸠合
尽心尽力,竭尽全力
精巧,精良
金鼓连天,金鼓齐鸣
价格,价钱
井井有序,井井有条
饥渴交攻,饥渴交迫
家无担石,家无斗储
俊俏,姣美
截止,结果
聚集,集结
进退中度,进退中绳
锦团花簇,锦簇花团
借风使船,见机行事
将心相随,降心相从
解说,解释
结余,节余
俊秀,俊美
惊讶,惊诧
进可替不,进可替否
纠纷,纠葛
嫁狗逐狗,嫁狗随狗
绝少分甘,绝甘分少
坚毅,坚贞
尽善尽美,尽如人意
肩舆,轿子
金石之言,金石良言
揭破,揭露
僵李代桃,将李代桃
娇傲,骄慢
举世无双,举世无敌
兼收并蓄,兼而有之
技巧,技术
检束,检点
坚忍,鉴定
解铃系铃,解铃须用系铃人
金玉良言,金石良言
坚实,坚忍
坚刚不屈,坚强不屈
建功立业,建功立事
蒹葭倚玉,蒹葭玉树
疾苦,艰苦
金碧辉映,金碧辉煌
尽职,尽责
简明,精练
叫喊,叫嚷
讥笑,讥讽
晶体,警告
骄侈暴佚,骄侈淫虐
惊惶失措,惊惶失措
坚忍,坚毅
精密,精巧
聚会,集结
捷报频传,节节胜利
家喻户晓,尽人皆知
建壮,结实
坚忍,坚韧
俭朴,简谱
节俭,节减
精华,精髓
积存,积累
举直厝枉,举直错枉
节俭,节流
桀傲不恭,桀骜不恭
积岁累月,积年累月
兼包并容,兼容并包
结束,解散
奸刁,狡滑
计策,计谋
急人之困,急人之急
洁身自好,洁身自爱
鸡犬不宁,鸡飞狗跳
敬小慎微,谨小慎微
见几而作,见几而作
尽心尽力,尽心竭力
急景流年,急景雕年
京师,京都
举手投足,九牛二虎之力
较亲,较胜
尽力而为,尽心竭力
疆土,疆域
精制,精巧
惊惶失措,惊惶无措
教会,教训
减削,节省
家徒壁立,家贫壁立
焦灼,焦虑
焦急,焦灼
艰巨,艰难
进攻,进犯
集中,鸠合
金玉良言,金石之言
敬佩,景仰
嫉妒,嫉恨
骄佚奢淫,骄泰淫泆
急躁,焦炙
极刑,极刑
简明,简洁
坚苦,疾苦
惊惧,惊慌
交战,接触
教养,教悔
界线,界线
纪念,记忆
假手于人,假手旁人
几何,几许
剧变,巨变
降尊纡贵,降贵纡尊
结尾,结束
家传户诵,家传户颂
竞赛,角逐
家乡,家园
聚沙成塔,集腋成裘
金衣玉食,锦衣玉食
急迫,紧急
接受,继承
交友,结交
集合,鸠集
剧烈,激烈
惊奇,惊异
寄予,寄托
借势,借重
坚苦卓绝,艰苦卓绝
教化,教育
焦心,焦灼
吉星高照,吉祥如意
机缘,机遇
俭朴,俭约
交织,交错
戒备,晶体
坚硬,结实
拘押,拘捕
京师,畿辇
价值千金,价值连城
锦囊佳制,锦囊佳句
聚会,鸠集
简政放权,精兵简政
计伐称勋,计功程劳
家书,家信
交口称誉,交口称赞
靖言庸回,靖言庸违
简明,简略
奸狡,狡猾
坚强不屈,坚韧不拔
建树,建立
坚固,结壮
记取,记着
交班,接班
结合,聚积
教会,教学
京华,畿辇
交头接耳,街谈巷议
兢兢业业,谨小慎微
减削,节约
拘押,拘禁
机警,警惕
诘屈磝碻,诘屈聱牙
拒人于千里之外,拒人千里
坚定,坚强
精制,精良
见微知类,见微知著
聚积,麇集
戒备,警觉
坚强不屈,坚贞不渝
截然不同,迥乎不同
焦急,焦虑
桀傲不恭,桀骜不逊
教育,教训
俊丽,俊美
及锋而试,捷足先得
京城,畿辇
机器,机械
解铃系铃,解铃还需系铃人
谨小慎微,谨言慎行
娇傲,骄矜
焦金流石,燋金烁石
节省,节约
巨人长德,钜人长德
疾苦,艰难
坚忍,坚贞
警惕,警戒
坚持不懈,坚持不渝
结交,结识
机灵,精灵
决一死战,决一雌雄
激勉,激发
讲授,讲解
精彩,精粹
鸡皮鹤发,鸡肤鹤发
聚拢,集合
嫁狗逐狗,嫁鸡逐鸡
精制,精细
机敏,机灵
敬爱,景仰
鸡飞狗窜,鸡飞狗走
寂寞,寂然
缉拿,缉捕
减价,降价
聚会,聚集
井井有序,井然有序
接收,接纳
荆棘塞途,荆棘载途
截发留宾,截发锉藳
教师,教授
戢鳞委翅,戢鳞潜翼
艰苦,艰辛
假如,假设
聚集,集合
敬而远之,敬若神明
结驷列骑,结驷连骑
军人,甲士
接二连三,接踵而至
精粹,精美
嘉勉,奖励
见德思齐,见贤思齐
坚持不懈,坚韧不拔
交恶,决裂
积雪囊萤,聚萤映雪
奸滑,奸诈
坚定不移,坚忍不拔
聚萤映雪,集萤映雪
精湛,精熟
憬悟,觉悟
敬授人时,敬授民时
就任,就职
倔强,坚决
今天,即日
桀敖不驯,桀骜不驯
巨头,巨擘
计划,计议
伎俩,技巧
坚忍,将强
加剧,加重
假如,假诺
见地,见识
九死无悔,坚持不懈
集中,鸠集
晶体,鉴戒
就义,捐躯
竣事,结束
惊心动魄,惊魂动魄
接收,经受
监督,监视
俊俏,俊美
今是昔非,今是昨非
机智,机灵
荆棘丛生,荆棘载途
尽头,极度
教学,教悔
建立,建造
精致,精良
惊愕失色,惊慌失措
精诚贯日,精贯白日
俭约,节省
俭朴,节减
叫嚣,叫嚷
惊悸,惊慌
皎白,结拜
荆棘满途,荆棘载途
精明,精通
坚苦,艰辛
觊幸,觊觎
坚如盘石,坚如磐石
骄矜,骄贵
济困扶危,锦上添花
教授,教练
积蓄,积贮
假使,即使
纠纷,纠缠
接续,继续
截止,截至
举目无亲,踽踽独行
简洁,精炼
眷恋,眷顾
决绝,拒绝
狡如脱兔,矫若游龙
抉目吴门,抉目悬门
聚积,集中
假充,假意
骄奢放逸,骄奢淫泆
机关,结构
禁止,禁绝
检修,检验
精心,经心
敬终慎始,谨小慎微
精力,精神
降临,驾临
举动,举止
精神奕奕,精神焕发
借据,借条
焦灼,紧张
禁圉,禁御
机变如神,机智善变
急公好义,见义勇为
坚忍不拔,坚持不懈
教养,教授
觊望,觊觎
决定,决议
九囿,九有
驾御,驾驭
诘问,诘难
京都,畿辇
简明,精炼
聚集,集中
讥刺,讥讽
解囊相助,解衣缩食
鸡飞狗走,鸡飞狗跳
坚壁清野,焦土政策
局部,局限
健壮,健朗
具备,具有
惊耳骇目,惊见骇闻
街谈巷议,街谈巷说
金屋藏娇,金屋贮娇
结子,结识
鸠僭鹊巢,鸠居鹊巢
嘉奖,奖励
惊惶,惊惶
教导,教授
奸巧,狡猾
晶体,机警
接收,接管
艰辛,艰难
桀骜不羁,桀骜不逊
家徒四壁,家徒壁立
惊悸,惊惧
浆酒藿肉,浆酒霍肉
计日以待,计日以期
接济,救援
警戒,鉴戒
拘留,拘系
结束,结果
旌旗蔽天,旌旗蔽日
佳音,捷报
加官晋爵,金榜题名
拘押,拘系
拘押,监管
鲸波鳄浪,鲸波鼍浪
精华,精粹
家散人亡,家破人亡
竞争,竞赛
鸡犬不宁,鸡狗不宁
见机而作,见机行事
教养,教学
筋疲力尽,筋疲力竭
骄傲,骄气
决斗,纠纷
抉择,拣选
积少成多,集腋成裘
接踵而至,接连不断
骄侈暴佚,骄奢淫佚
聚集,集会
敬佩,敬爱
降尊临卑,降贵纡尊
决心,决意
减削,节俭
金口御言,金口玉言
经久不息,经年累月
积压,积存
教员,教练
巨头,巨子
急脉缓受,急脉缓灸
接受,接管
警告,警备
进击,进攻
见死不救,见溺不救
惊讶,惊讶
嘉言善状,嘉言懿行
交战,交手
决一胜负,决一雌雄
借风使船,见风使舵
精深,精良
觉悟,觉醒
坚定,坚毅
借刀杀人,借剑杀人
警备,警觉
俭朴,节约
倔强,坚定
警句,警语
借券,借条
经过,进程
晶体,警备
极力,竭力
惊异,惊讶
纠合,聚集
精细,精美
进退失据,进退无据
杰出,精采
敬仰,敬爱
佳丽,佳人
记住,记着
矫枉过正,矫首昂视
教化,教导
尽心竭力,竭尽心力
惊异,惊诧
教养,教导
兼收并畜,兼收并蓄
交往,交游
建设,建造
俊俏,姣好
节减,节约
戒备,警卫
交集,焦炙
经历,经验
接力,极力
教学,教育
进退两难,进退失据
鉴别,鉴识
借使,假如
结子,结实
急躁,焦急
坚实,坚韧
尽力,接力
简练,精辟
积储,积贮
坚强,坚忍
禁得住,禁得起
涓滴成河,积少成多
绝壁,绝对
敬仰,景仰
借贷,假贷
坚硬,矍铄
紧急,紧迫
旧瓶装新酒,旧调重弹
筋疲力竭,精疲力竭
进退失踞,进退无据
结局,结果
节俭,节省
拘留,拘禁
久惯牢成,久惯老诚
揭发,揭穿
集结,鸠集
究竟,结局
教导,教诲
激进,进攻
九死一生,绝处逢生
教授,教育
接头,接洽
决绝,绝交
酒足饭饱,酒酣耳热
胶柱调瑟,胶柱鼓瑟
积累,积蓄
聚积,鸠合
急不及待,急不可待
骄傲自大,骄横跋扈
结好,结盟
惊愕,惊讶
饥附饱扬,饥附饱飏
尽力,竭力
家族,家眷
景星凤皇,景星庆云
决定,决计
基本,基本
尽力,极力
激昂,激越
惊叹不已,惊叹不止
间不容息,间不容缓
坚硬,坚韧
居丧,居忧
假使,假若
及锋而试,捷足先登
急切,紧急
焦虑,紧张
奸猾,奸诈
捷足先得,捷足先登
急于星火,急如星火
娇傲,骄贵
皎白,皎皎
教学,教诲
进展,进步
见机行事,见风使舵
记录,记载
骄横,骄矜
进退两难,进退迍邅
剿灭,歼灭
惊惶,惊愕
决战,决斗
坚强,坚贞
酒足饭饱,酒醉饭饱
焦心劳思,焦心热中
纠结,纠葛
简单,简洁
计上心头,计上心来
久别重逢,旧雨重逢
价值,价格
骏骨牵盐,骥服盐车
技术,技能
奸刁,奸诈
九死一生,岌岌可危
紧记,谨记
拣精剔肥,拣精拣肥
警告,警觉
计日以待,计日而待
兼容并包,教学相长
局面,景象
机灵,机警
积储,积蓄
搅动,搅拌
警卫,警惕
决定,决意
加快,加速
九九归一,九九归原
交换,交流
加膝坠泉,加膝坠渊
加倍,加强
将功补过,计功补过
救急,济急
教会,教导
尽心,经心
拒绝,绝交
聚集,鸠集
警卫,警戒
健旺,建壮
简练,精练
及时行乐,极乐世界
交锋,接触
解说,讲解
集合,集结
节俭,节约
精巧,精致
俭约,节减
进入,进来
节上生枝,节外生枝
艰巨,艰苦
缄默,静默
见危授命,见危致命
积劳成疾,鞠躬尽瘁
敬老怜贫,敬老恤贫
局促不安,跼蹐不安
剑拔弩张,箭拔弩张
酒席,酒菜
疾言厉色,金刚怒目
精壮,精悍
见财起意,见钱眼开
娇气,娇贵
俭省,节约
精妙绝伦,精彩绝伦
监管,羁系
焦急,焦躁
解释,讲明
兼容并包,兼而有之
简谱,简陋
进退两难,进退为难
晋级,进犯
角逐,较量
锦营花阵,锦阵花营
惊恐,惊险
拒人千里,距人千里
借客报仇,借身报仇
鸠夺鹊巢,鸠居鹊巢
惊涛骇浪,鲸波鳄浪
机关,架构
鸡飞狗窜,鸡飞狗跳
忌日,忌辰
坚苦,艰巨
缄口不言,缄口无言
教授,教诲
精华,精美
鸡犬不惊,鸡犬无惊
检核,检点
居利思义,见利思义
居功自傲,居功自恃
简便,简捷
积重难返,积非成是
接于眼前,近在眉睫
借鉴,鉴戒
京关,畿辇
继古开今,继往开来
急竹繁丝,急管繁弦
晶体,警戒
机密,机要
鲸波鼍浪,鲸涛鼍浪
检查,检讨
减弱,减轻
聚会,聚合
家殷人足,家衍人给
街谈巷说,街谈市语
积攒,积累
惊慌失措,惊慌失色
计日以俟,计日而俟
家给人足,家给民足
记忆,记忆
俊丽,俊俏
街谈巷议,街谈巷语
稽察,稽查
坚忍,坚硬
激扬清浊,激浊扬清
急惊风撞着慢郎中,急惊风遇着慢郎中
吉光片羽,吉光片裘
经由,经过
拘押,羁系
简练,精粹
截然不同,迥然相异
艰苦,艰难
积聚,聚积
接收,汲取
聚会,集会
计较,较量
敬慕,景仰
解职,解聘
拘押,监禁
聚拢,聚积
洁净,洁白
进退维亟,进退维谷
坚毅,坚韧
家无儋石,家无担石
举鼎绝脰,举鼎绝膑
见怪,见责
尽心竭力,竭尽全力
坚强,坚毅
精华,精彩
境地,境界
戒备,警惕
娇傲,骄气
急急巴巴,急急忙忙
聚合,集中
