信口开喝,信口开河
惨事,惨剧
口直心快,心直口快
亏损,牺牲
法则,法规
喧哗,纷扰
成恳,诚挚
插翅难逃,插翅难飞
焚书坑儒,焚典坑儒
烦恼,纷扰
空位,空隙
遐思,遐想
开除,褫职
心如死灰,心灰意冷
分说,分辩
才占八斗,才高八斗
选取,采纳
齿如编贝,齿如齐贝
相接,衔接
兴盛,富强
城实,赤诚
分开,分离
口齿伶俐,夸夸其谈
分裂,翻脸
蜂拥而来,蜂拥而至
仓促,仓皇
销子,销钉
方位,方向
心在魏阙,心瞻魏阙
夕晖,夕阳
稠密,繁密
趁火打劫,趁火抢劫
春和景明,风月无边
传杯弄斝,传杯弄盏
信口雌黄,口不择言
雄心勃勃,雄心壮志
磋商,筹议
枯木朽株,行将就木
喧嚣,宣闹
聪明,聪颖
车尘马迹,车辙马迹
惨淡经营,苦心经营
溃烂,腐败
胸无城府,胸有城府
风清月明,风清月朗
慈悲,慈祥
反抗,抗拒
传风搧火,兴风作浪
刑事责任,处分
枯木逢春,枯树开花
嬉皮笑脸,嬉笑怒骂
敷衍了事,粗制滥造
笑哈哈,笑嘻嘻
吃力不讨好,心劳日拙
慷慨赴义,殉身不恤
刺骨,澈骨
除去,除掉
发明,发现
空闲,闲暇
狂妄,疯狂
分钗破镜,分鞋破镜
嘲笑,戏弄
可恨,可憎
丰沛,充沛
心悦诚服,服服贴贴
新闻,消息
凡间,尘世
小看,看不起
春笋怒发,春色满园
选兵秣马,选士厉兵
喜笑颜开,笑逐颜开
创造,发现
参差不齐,错落不齐
相似,相符
兴奋,开心
兴亡,富足
草泽英雄,草莽英雄
从从容容,从容自若
齿如编贝,齿若编贝
恳挚,陈恳
相见,相逢
虚假,虚幻
显露,泄露
揣度,揣测
覆盂之固,覆盂之安
心满意足,称心如意
春光明媚,春深似海
熙熙攘攘,车水马龙
放浪不拘,放浪无拘
才干,才略
反击,反攻
风仪,风韵
空闲,闲逸
发达,繁盛
风度,风范
伏首贴耳,俯首帖耳
开发,开荒
虚憍,虚骄
形劫势禁,形格势禁
充斥,充足
嘲笑,嘲讽
血流成河,血流成渠
反对,抗议
心向往之,馨香祷祝
相接,相连
奉令承教,奉命承教
戏谑,戏弄
肥大,肥硕
繁文末节,繁文缛节
阐扬,阐明
放弃,牺牲
开幕,开张
稀奇,稀少
帆船,风帆
习性,风俗
崇高,显贵
修明,昌明
学塾,学校
牺尊,牺牛
叩首,磕头
春风夏雨,春风风人
协助,协理
舛误,舛错
聪明,聪敏
星星点点,星星落落
长生不老,长生久视
开仗,开火
垂危,垂死
处置,处分
口齿伶俐,口如悬河
看破,看穿
训戒,训诫
兴妖作怪,兴风作浪
飞鸿印雪,飞鸿雪爪
措施,方法
夸耀,显示
从军,从戎
烦文缛礼,繁文缛礼
夏虫疑冰,夏虫语冰
惨重,沉重
靠拢,靠近
烦懑,苦恼
心思,心情
充裕,充沛
现存,现有
富丽,绚丽
发觉,察觉
成家立业,成家立计
吵闹,嘈吵
溃不成军,风声鹤唳
风起云涌,风靡云涌
心如悬旌,心神不定
沉渣泛起,沉滓泛起
创办,开创
从前,畴昔
怅惘,惆怅
出洋,放洋
豺狼当路,豺狼横道
效劳,服从
雄壮,雄浑
限制,限度
覆蕉寻鹿,覆鹿遗蕉
潇洒,超逸
纯洁,纯碎
寸心,寸衷
苦尽甘来,苦尽甜来
才智,才气
胸宇,胸怀
处罚,科罚
薪桂米珠,薪桂米金
风流,风骚
况且,况兼
稀疏,稀零
可怕,恐慌
宽广,雄伟
忖度,猜想
信件,尺简
开卷有得,开卷有益
反抗,反叛
串话,串音
粗心大意,草草了事
藏垢纳污,藏污纳垢
兴旺,昌隆
空白,空缺
摧坚陷阵,摧锋陷阵
放肆,猖獗
俯看,俯视
粗犷,粗莽
粗心大意,粗心浮气
巡回,巡行
学塾,学宫
发愤图强,奋发有为
喧嚷,嘈吵
亏折,亏空
夸奖,称赞
逢场作乐,逢场作趣
粗拙,粗造
心绪恶劣,愁肠百结
唇齿相依,巢毁卵破
幸好,辛亏
差错,舛讹
操心,费神
乘坚策肥,乘坚驱良
发达,昌盛
凶恶,粗鲁
扣问,询问
粗疏,粗糙
俯首听命,俯首贴耳
揣摸,猜度
贤良,贤达
悬想,揣想
称号,称谓
寻视,巡视
心酸,苦涩
兴办,创立
凶悍,凶残
笑容,笑脸
废止,废除
风仪,风采
刑罚,科罚
掀天揭地,翻天覆地
惨不忍闻,惨绝人寰
欣喜,开心
腐朽,腐烂
效尤,效法
心痒难挝,心痒难挠
复宗绝嗣,覆宗灭祀
缠夹不清,缠杂不清
行同狗彘,行若狗彘
敷衍了事,敷衍塞责
处罚,处理
粗劣,粗糙
仓卒,仓猝
反躬自省,反躬自问
息款,息钱
相近,附进
修缮,修葺
反响,反映
趁火打劫,趁人之危
灿烂,鲜丽
喧华,嘈杂
粗犷,粗暴
兴趣盎然,兴高采烈
烦恼,烦躁
乘虚而入,新浪搬家
信札,尺素
察访,查访
空名,虚名
心口不一,炫石为玉
校对,校阅
开除,辞退
喜不自胜,喜形于色
付出,开销
细致,详细
克己奉公,奉公守法
休息,休憩
开办,创立
丰功懿德,丰功茂德
凶狠,残暴
崇敬,看重
豺狼塞路,豺狼横道
饭铺,饭馆
选拔,采用
心酸,心伤
哓哓不停,口如悬河
肥沃,肥饶
父老,长者
风言风语,飞短流长
浮图,浮屠
放浪不拘,放浪无羁
呈现,线路
枯树新芽,枯树生花
惩办,惩罚
场合,场地
粗壮,粗大
放浪,猖狂
簠簋不饰,簠簋之风
宽心,宽解
参差不齐,错落有致
幸亏,幸而
喜不自禁,欣喜若狂
创办,创建
除去,撤退
下手,开头
方位,场所
发作,发火
乘凉,歇凉
风姿绰约,风韵犹存
西式,西法
反复无常,苍黄翻覆
嫌隙,心病
才具,才气
揣摩,猜想
昆仲,昆玉
粗野,粗暴
形踪,形迹
分别,分手
渲染,衬着
匆忙,匆急
发扬光大,阐扬光大
夸大,夸张
凶恶,犀利
洗沐,洗澡
参加,插足
县令,县长
纷纷扬扬,纷纷洋洋
相安无事,风平浪静
悬头刺股,悬梁刺股
承受,承袭
成家立业,克绍箕裘
发表,宣告
心理,心情
费尽心机,苦心经营
绰有余裕,绰绰有余
发轫,开端
发人深省,发人深醒
醇厚,醇朴
璀璨,绚烂
传播,宣称
初阶,开头
行囊,行李
创剧痛深,创巨痛深
宽敞,空旷
防备,防止
恳求,苦求
下笔成章,出口成章
先河,开端
夸大,放大
层出不穷,层见迭出
发卡,发夹
成效,成果
信件,尺书
贩夫皂隶,贩夫走卒
村夫俗子,村夫野老
雪窗萤几,雪窗萤火
发傻,发姣
聪明才智,聪明智慧
辞别,分辩
出何典记,出何经典
巡回,巡游
巡查,巡视
喜从天降,喜出望外
凶暴,狂暴
星星之火,星火燎原
训导,训诲
袭击,反攻
刻意,负责
宣传,宣称
学问,常识
妇姑勃溪,妇姑勃溪
寻开心,开玩笑
休戚相关,巢毁卵破
炊臼之戚,炊臼之痛
选拔,选择
悬鹑百结,鹑衣百结
心花怒发,兴高采烈
宽广,宽大
凤友鸾交,凤友鸾谐
佛寺,梵刹
絺章饰句,絺绘章句
口惠而实不至,空头支票
反响,反应
复活,新生
枯木再生,枯枝再春
心悦诚服,心甘情愿
控制,限定
寻思,陈思
忖度,忖测
繁荣兴旺,繁荣昌盛
宽裕,富有
寻根究底,寻根问底
心中芥蒂,心存芥蒂
仙姿玉色,仙姿玉质
防守,防御
浮现,线路
复杂,繁杂
充分,充塞
出入无间,畅通无阻
成亲,成婚
形似,相仿
充裕,阔气
撤消,消除
扩大,扩张
空洞无物,长篇大论
发作,发生
寸丝不挂,赤身露体
宽绰,宽大
蜚短流长,飞流短长
辛劳,辛勤
秀丽,秀气
喧闹,繁华
防备,防范
可靠,靠得住
发憷,犯憷
伐毛换髓,伐毛洗髓
抗争,反叛
喧闹,喧喧
谢绝,辞让
诚心,诚恳
腐化,腐蚀
费力,费劲
踌躇满志,称心如意
才华横溢,才高八斗
信托,信赖
蓄志,蓄意
丰富,充足
寸有所长,尺短寸长
心满意足,称心快意
开发,开导
初生之犊不畏虎,初生牛犊不怕虎
开怀,畅意
嗤笑,嘲弄
腐朽,腐臭
稀罕,稀少
仿制,仿照
超群拔萃,超群轶类
乘虚而入,乘人之危
快人快语,快嘴快舌
残杯冷炙,残羹冷炙
出口伤人,血口喷人
残兵败将,虾兵蟹将
发奋,奋发
从容不迫,从容自如
宽宏大度,宽洪大度
奉为圭臬,奉若神明
岘山情,岘山泪
餐风宿草,餐风宿露
心惊肉跳,心惊胆落
参预,插足
尺寸之地,尺山寸水
反朴还淳,反正还淳
戳穿,拆穿
茶余酒后,茶余饭饱
夸耀,炫耀
福气,福泽
初叶,开始
承诺,许可
测验,考试
开疆拓境,开疆辟土
宣传,传扬
出席,参与
心狠手辣,残酷无情
开办,创设
超过,跨越
法例,法规
放虎归山,放龙入海
负乘斯夺,负乘致寇
存心,蓄谋
新闻,信息
创制,创建
阐扬,发扬
扶危持倾,扶颠持危
出售,发卖
显露,泄漏
储存,储蓄
错综复杂,错综相连
凡夫,小人
撤废,铲除
采取,选择
开云见天,开云见日
嚣张,疯狂
校正,校订
操戈入室,操矛入室
墟落,村庄
才气过人,才识过人
抗御,防范
叩首,叩头
下车伊始,新来乍到
负固不服,负阻不宾
相遇,邂逅
心不在焉,心猿意马
窥察,窥探
惨无人道,豺狼成性
春和景明,风和日丽
诚信,诚实
放恣,放荡
相对如宾,相待如宾
泛论,畅谈
出尔反尔,翻云覆雨
