木已成舟,米已成炊
满山遍野,漫天遍地
明光烁亮,明光锃亮
马革盛尸,马革裹尸
冒失,莽撞
名不虚传,名副其实
密不透风,密密麻麻
木材,木柴
毛发耸然,毛骨悚然
满山遍野,漫山遍野
名不副实,名不符实
慢吞吞,慢悠悠
目瞪口张,目瞪口呆
卖儿鬻女,卖男鬻女
美丽,美好
磨砺,磨练
靡然乡风,靡然向风
明婚正娶,明媒正娶
民康物阜,民熙物阜
慢腾腾,慢悠悠
毛骨竦然,毛骨悚然
面折庭争,面折廷争
猛然,蓦然
蓦地,蓦然
美丽,美观
秘密,秘籍
目瞪口张,目瞪口结
幕燕釜鱼,幕燕鼎鱼
敏捷,敏锐
满腹珠玑,满腹经纶
梦境,梦幻
毛骨竦然,毛骨耸然
毛手毛脚,马马虎虎
明争暗斗,明修栈道
铭刻,铭记
美名,美誉
迷路,迷途
猛虎出山,猛虎下山
漫溢,迷漫
满不在乎,漫不经心
麻痹大意,漫不经心
漠视,蔑视
门可罗雀,门庭冷落
明婚正娶,明婚正配
迷失,迷茫
名声,名气
朦胧,模糊
买马招兵,买马招军
妙语解颐,妙语连珠
面如死灰,面无人色
明察暗访,明察秋毫
马齿徒增,马齿徒长
渺视,藐视
名人,名士
茂密,茂盛
门径,门路
迷途知反,迷途知返
明火执仗,明目张胆
默化潜移,默换潜移
默不作声,默默无言
描写,描绘
买上告下,买上嘱下
民不聊生,民生凋敝
目不苟视,目不邪视
目眐心骇,目瞪心骇
名望,名誉
明媚,明朗
渺茫,迷茫
迷途知反,迷而知返
卖剑买牛,马放南山
秘而不言,秘而不露
谬采虚声,谬采虚誉
妈妈,姆妈
民心,民气
朦拢,模糊
忙乱,忙碌
明丽,明净
名人,名流
没精打彩,没精打采
扪虱而言,扪虱而谈
民富国强,民殷国富
名实相副,名副其实
靡靡之声,靡靡之音
面誉背毁,面谀背毁
冥思苦索,瞑思苦想
牟取,谋取
名垂千古,名垂后世
门可罗雀,门堪罗雀
敏感,敏锐
描画,描绘
明确,明晰
门无杂客,门无杂宾
埋没,埋葬
面面相看,面面相觑
没齿不忘,铭心刻骨
买笑寻欢,买笑追欢
貌是心非,貌是情非
弥天大谎,瞒天过海
命根子,命脉
梦呓,梦话
卖剑买牛,买牛卖剑
漫天盖地,漫天匝地
描写,描述
鸣金收兵,鸣金收军
绵亘,绵延
酩酊大醉,酩酊烂醉
摸不着头脑,摸头不着
暮年,末年
漫无止境,漫无边际
模模糊糊,迷迷糊糊
明火执械,明火持杖
渺茫,渺小
麻木不仁,麻痹不仁
毛病,谬误
名垂青史,名标青史
盲人扪烛,盲翁扪籥
冒失,马虎
民脂民膏,民膏民脂
埋没,泯没
目中无人,目空一切
忙活,忙碌
没大没小,目无尊长
面誉背毁,面誉背非
弥天大谎,漫天大谎
卖俏行奸,卖俏迎奸
慢条斯礼,慢腾斯礼
末了,末端
没大没小,没上没下
面子,美观
美满,美好
马入华山,马放南山
名不副实,名过其实
目生,陌生
目不斜视,目不邪视
茅屋,茅庐
名山大川,名胜古迹
面容,面目
迷离徜恍,迷离惝恍
满堂彩,满堂红
瞒上欺下,瞒天过海
名扬四海,名满天下
面缚舆榇,面缚衔璧
沐雨栉风,沐雨梳风
民俗,民风
妙不可言,妙趣横生
眠花宿柳,眠花藉柳
谋图不轨,谋为不轨
目不知书,目不识书
迷失,迷离
买卖,贸易
名实难副,名过其实
冥思苦索,冥思苦想
谬论,谬误
磨刀霍霍,磨砺以须
目光如炬,目光炯炯
模型,模子
民不聊生,民穷财尽
面如土色,面无人色
明效大验,明验大效
面庞,面貌
目眩头昏,目眩头晕
目使颐令,目指气使
面善,面熟
默转潜移,默换潜移
没世无闻,默默无闻
摹本,模本
迷离徜仿,迷离惝恍
名实相副,名符其实
渺无人烟,渺无人踪
靡然从风,靡然成风
模仿,模拟
面不改色,面红耳赤
面如土色,面色如土
茂密,密集
没顶,灭顶
面孔,面目
盲人摸象,盲人说象
迷魂夺魄,迷魂淫魄
目不斜视,目不别视
描摹,描述
面红耳热,面红耳赤
目不转睛,目不转视
灭尽,灭绝
漫骂,谩骂
鸣钟列鼎,鸣钟食鼎
妙语双关,妙语连珠
没齿不忘,没齿难忘
面面俱到,面面俱圆
卖官卖爵,卖官贩爵
面不改色,面不改容
绵绵不断,绵绵不绝
目挑心招,眉目传情
灭亡,灭绝
明火执仗,明火执杖
目击,目睹
名垂千古,名垂万古
殁,没意思
末梢,末端
摩砺以须,磨厉以须
默认,默许
面如傅粉,面如冠玉
忙中有失,忙中有错
蛮烟瘴雨,蛮烟瘴雾
弥散,迷漫
没皮没脸,没脸没皮
魅力,魔力
漫天开价,漫天要价
面有菜色,面黄肌瘦
模棱两可,模棱两端
明珠投暗,明珠暗投
